venue,year,area,deadline_label,deadline_date,timezone,conference_dates,place,website,status,source
KDD,2027,WS,Research Track (Cycle 1 Abstract),2026-07-19T23:59:00-12:00,AoE,August 2027 (exact dates not yet announced),"San Jose, California, USA",https://kdd2027.kdd.org/,announced,https://kdd2027.kdd.org/research-track-call-for-papers/ ; https://kdd2027.kdd.org/
KDD,2027,WS,Research Track (Cycle 1 Full Paper),2026-07-26T23:59:00-12:00,AoE,August 2027 (exact dates not yet announced),"San Jose, California, USA",https://kdd2027.kdd.org/,announced,https://kdd2027.kdd.org/research-track-call-for-papers/ ; https://kdd2027.kdd.org/
IMWUT,2026,HCI,Major-revision resubmissions only (rolling cycle),2026-08-01T23:59:00-12:00,AoE,"October 13-15, 2026","Shanghai, China",https://www.ubicomp.org/ubicomp-iswc-2026/,announced,https://dl.acm.org/journal/imwut/how-to-submit ; https://www.ubicomp.org/ubicomp-iswc-2026/ ; https://sigchi.org/events/ubicomp-iswc-2026/ ; https://hci-deadlines.github.io/
IMWUT,2026,HCI,"Full Paper (next new-submission round, rolling cycle)",2026-11-01T23:59:00-12:00,AoE,"October 13-15, 2026","Shanghai, China",https://www.ubicomp.org/ubicomp-iswc-2026/,announced,https://dl.acm.org/journal/imwut/how-to-submit ; https://www.ubicomp.org/ubicomp-iswc-2026/ ; https://sigchi.org/events/ubicomp-iswc-2026/ ; https://hci-deadlines.github.io/
WSDM,2027,WS,Abstract,2026-08-17T23:59:00-12:00,AoE,"February 15-19, 2027","Hong Kong, China",https://wsdm-conference.org/2027/,announced,https://wsdm-conference.org/2027/
WSDM,2027,WS,Full Paper,2026-08-24T23:59:00-12:00,AoE,"February 15-19, 2027","Hong Kong, China",https://wsdm-conference.org/2027/,announced,https://wsdm-conference.org/2027/
SBP-BRiMS,2026,SC,Full Paper,2026-06-15T23:59:00-12:00,AoE,"October 12-14, 2026","Pittsburgh, PA, USA (Carnegie Mellon University)",https://sbp-brims.org/2026/,announced,https://sbp-brims.org/2026/
SBP-BRiMS,2026,SC,Working Papers / Challenge,2026-08-21T23:59:00-12:00,AoE,"October 12-14, 2026","Pittsburgh, PA, USA (Carnegie Mellon University)",https://sbp-brims.org/2026/,announced,https://sbp-brims.org/2026/
CHI,2027,HCI,Full Paper,2026-09-10T23:59:00-12:00,AoE,"May 10-14, 2027","Pittsburgh, PA, USA",https://chi2027.acm.org/,announced,https://chi2027.acm.org/authors/papers/
CHI,2027,HCI,Revise & Resubmit (resubmission),2026-12-03T23:59:00-12:00,AoE,"May 10-14, 2027","Pittsburgh, PA, USA",https://chi2027.acm.org/,announced,https://chi2027.acm.org/authors/papers/
ICWSM,2027,WS,Round 2 Full Paper,2026-09-15T23:59:00-12:00,AoE,,"Edinburgh, Scotland, United Kingdom",https://www.icwsm.org/2026/submit.html,announced,https://www.icwsm.org/2026/submit.html
ICWSM,2027,WS,Round 3 Full Paper (also posters/demos/datasets),2027-01-15T23:59:00-12:00,AoE,,"Edinburgh, Scotland, United Kingdom",https://www.icwsm.org/2026/submit.html,announced,https://www.icwsm.org/2026/submit.html
iConference,2027,SC,Full Research Papers,2026-09-15T23:59:00-12:00,AoE,"April 5-9, 2027","Wellington, New Zealand",https://www.ischools.org/iconference,announced,https://www.ischools.org/post/iconference-2027-to-be-hosted-by-victoria-university-of-wellington
CHIIR,2027,HCI,Full and Perspective Papers (Abstract),2026-10-08T23:59:00-12:00,AoE,"March 7-11, 2027","Berlin, Germany",https://chiir2027.github.io/,announced,https://chiir2027.github.io/
CHIIR,2027,HCI,Full and Perspective Papers (Full Paper),2026-10-15T23:59:00-12:00,AoE,"March 7-11, 2027","Berlin, Germany",https://chiir2027.github.io/,announced,https://chiir2027.github.io/
